Rank,College Name,Avg_Doc_DSS,Risk_Score,Rank_Score
842,Cochin Institute of Science and Technology,76.46,36.69,56.58
843,Sri Rajiv Gandhi Polytechnic College,68.32,44.84,56.58
844,Government Polytechnic,77.26,35.89,56.58
845,Institute of Management and Information Technology,72.5,40.63,56.57
846,Guru Gobind Singh Government Polytechnic,83.9,29.23,56.56
847,St Xavier's Technical Institute,80.35,32.76,56.55
848,Samalkha Group of Institutions,80.69,32.41,56.55
849,RKDF University,63.58,49.51,56.55
850,Advanced Institute of Technology and Management,84.05,29.03,56.54
851,Narula Institute of Technology,80.33,32.74,56.54
852,Uttaranchal Institute of Technology,83.39,29.68,56.54
853,Shivalik Institute of Engineering and Technology,74.51,38.58,56.54
854,Institute of Textile Technology,71.86,41.2,56.53
855,Babulal Tarabai Institute of Research and Technology,82.47,30.56,56.52
856,Cooch Behar Government Engineering College,80.85,32.18,56.51
857,Shri USB Polytechnic College,76.38,36.64,56.51
858,Hanswahini Institute of Science and Technology,46.23,66.77,56.5
859,Sri Vengateswaraa Polytechnic College,81.66,31.33,56.5
860,Government Polytechnic,82.07,30.93,56.5
861,Shri Sai Institute of Technology Polytechnic,76.5,36.47,56.48
862,Shri Bhavani Niketan Institute of Technology and Management,71.81,41.13,56.47
863,VKS College of Engineering and Technology,81.57,31.34,56.46
864,Sankara Polytechnic College,82.53,30.39,56.46
865,Kopal Institute of Science and Technology,83.37,29.55,56.46
866,Diviseema Polytechnic,79.13,33.78,56.45
867,AWH Engineering College,84.21,28.69,56.45
868,University of Madras,62.31,50.57,56.44
869,Government Polytechnic,68.35,44.54,56.44
870,Accurate Institute of Management and Technology,76.2,36.67,56.43
871,GS Mandal's Marathwada Institute of Technology,70.73,42.1,56.41
872,Maharaja College of Engineering,79.95,32.86,56.4
873,Feroze Gandhi Polytechnic,74.62,38.17,56.4
874,Government Polytechnic,77.33,35.45,56.39
875,Thamirabharani Engineering College,83.47,29.31,56.39
876,Rashtrasant Tukadoji Maharaj Nagpur University,68.95,43.81,56.38
877,Gujarat Forensic Sciences University,83.79,28.95,56.37
878,Pragyan Research Institute of Diploma Engineering,52.65,60.06,56.36
879,Shakambhari Institute of Higher Education and Technology,54.91,57.78,56.34
880,RP Educational Trust Group of Institutions,76.46,36.23,56.34
881,Shiv Nadar University,77.13,35.53,56.33
882,Cooch Behar Polytechnic,64.52,48.12,56.32
883,University College of Engineering,83.24,29.4,56.32
884,PK Polytechnic,79.12,33.51,56.31
885,Chandy Polytechnic College,83.79,28.83,56.31
886,Rajeev Gandhi Prodyogiki Mahavidyalaya-2,70.88,41.73,56.31
887,Sardar Patel University of Police Security and Criminal Justice,65.67,46.92,56.3
888,Government Polytechnic,82.7,29.9,56.3
889,Asiatic Institute of Science and Technology,80.52,32.09,56.3
890,Hindustan Institute of Maritime Training,81.81,30.76,56.29
891,MG Polytechnic,81.23,31.36,56.29
892,Christ University,67.51,45.07,56.29
893,Shree Balaji College of Polytechnic,72.95,39.61,56.28
894,Maharishi Ved Vyas Engineering College,75.7,36.87,56.28
895,Sir Vishveshwaraiah Institute of Science and Technology,77.72,34.8,56.26
896,Ideal School of Architecture,71.46,41.06,56.26
897,Vasavi Polytechnic,79.04,33.49,56.26
898,Aditya College of Technology and Science,83.34,29.18,56.26
899,Trichy Engineering College,68.26,44.27,56.26
900,Nadimpalli Satyanarayana Raju Institute of Technology,83.03,29.47,56.25
901,Aum Sai Institute of Technical Education,71.99,40.52,56.25
902,Synergy Institute of Technology,82.86,29.63,56.25
903,DNM Institute of Engineering and Technology,82.78,29.69,56.24
904,SCOPE College of Engineering,78.96,33.5,56.23
905,Bengal Institute of Technology and Management,83.63,28.82,56.23
906,Nirma University,79.69,32.74,56.22
907,Patnam Rajender Reddy Memorial Engineering College,77.21,35.22,56.22
908,BGS Institute of Technology,81.64,30.79,56.21
909,Maharaja's Technological Institute,69.47,42.95,56.21
910,St Marys Group of Institutions,77.85,34.54,56.2
911,Drona's Polytechnic College,63.75,48.65,56.2
912,Panimalar Engineering College,82.16,30.22,56.19
913,Siddharth Polytechnic,84.17,28.19,56.18
914,Sri Prakash College of Engineering,80.2,32.15,56.17
915,Sri Venkateswara College of Engineering and Technology,71.35,41.0,56.17
916,Vasavi Jnana Peetha Polytechnic,82.57,29.77,56.17
917,Mohandas College of Engineering and Technology,77.09,35.22,56.16
918,Jagadguru Dattatray College of Technology,83.65,28.67,56.16
919,Sri Parashuram Institute of Technology and Research,76.51,35.82,56.16
920,FX Polytechnic College,83.03,29.28,56.15
921,Gujarat Institute of Technical Studies,79.25,33.05,56.15
922,Shri Shankarprasad Agnihotri College of Engineering,77.24,35.03,56.14
923,Devasya Polytechnic,69.14,43.13,56.14
924,JP Institute of Technology,75.5,36.78,56.14
925,Yashwantrao Chavan School of Rural Development,75.92,36.36,56.14
926,College of Engineering and Technology,82.04,30.23,56.13
927,Buchepalli Venkayamma Subbareddy Engineering College,82.67,29.58,56.13
928,ICFAI Tech School,75.24,36.98,56.11
929,Government Institute of Printing Technology,73.91,38.28,56.1
930,Prasiddha College of Engineering and Technology,77.63,34.57,56.1
931,University Institute of Technology Rajiv Gandhi Proudyogiki Vishwavidyalaya,65.08,47.12,56.1
932,Orphanage Polytechnic College,69.05,43.13,56.09
933,Kongu Hi Tek Polytechnic College,68.36,43.82,56.09
934,Sri Krishna Polytechnic,80.56,31.6,56.08
935,Sai Nath University,68.2,43.96,56.08
936,Sandip Institute of Technology and Research Center,68.45,43.72,56.08
937,Government Polytechnic,81.96,30.19,56.07
938,VET BVL Polytechnic,76.84,35.3,56.07
939,Hindusthan Institute of Technology and Management,62.91,49.22,56.06
940,Laxmi Institute of Technology,73.82,38.28,56.05
941,Bal Krishna Institute of Technology,76.54,35.57,56.05
942,Modern Institute of Engineering and Technology,69.6,42.49,56.04
943,Bhonwal School of Engineering Polytechnic,76.37,35.7,56.03
944,West Bengal University of Animal and Fishery Sciences,82.27,29.77,56.02
945,Unnati Management College and Technology,79.93,32.08,56.01
946,Sri Ramakrishna Polytechnic College,77.04,34.93,55.98
947,Dalia Institute of Diploma Studies,79.6,32.33,55.96
948,Shri Ram College of Engineering and Management,79.79,32.11,55.95
949,Saraswathi Velu College of Engineering,73.35,38.54,55.95
950,Bellamkonda Polytechnic College,64.03,47.86,55.94
951,Vedhantha Institute of Technology,61.52,50.36,55.94
952,Khalsa College of Engineering and Technology,82.87,29.0,55.94
953,Guru Nanak Institute of Technology,77.96,33.88,55.92
954,College of Engineering,77.54,34.29,55.92
955,Government Polytechnic,73.57,38.25,55.91
956,Guru Ram Dass Institute of Engineering and Technology,79.32,32.51,55.91
957,Rajeev Gandhi Proudyogiki Mahavidyalaya,45.76,66.04,55.9
958,SIRDA Institute of Engineering and Technology,76.79,34.97,55.88
959,Dr Harisingh Gour Vishwavidyalaya,57.66,54.09,55.88
960,Bharati Vidyapeeth's College of Engineering,64.33,47.43,55.88
961,RKDF College of Technology and Research,78.41,33.35,55.88
962,Kuvempu University,59.96,51.79,55.87
963,Hindu College of Engineering,75.95,35.78,55.86
964,Gurukula College of Engineering for Women,81.54,30.18,55.86
965,St Mariam Polytechnic College,63.95,47.72,55.84
966,Teerthanker Mahaveer University,81.98,29.7,55.84
967,Bishnupur Public Institute of Engineering,82.05,29.61,55.83
968,Government Polytechnic,82.6,29.06,55.83
969,VSM's Institute of Technology,78.77,32.87,55.82
970,PR Patil Education and Welfare Trust's Institute of Polytechnic and Technology,76.81,34.83,55.82
971,Royal Institute of Technology and Science,80.9,30.74,55.82
972,Indian Institute of Information Technology Design and Manufacturing Kancheepuram,75.86,35.75,55.81
973,Shri Ramdevi Ramdayal Tripathi Mahila Polytechnic,79.52,32.1,55.81
974,Kakatiya Institute of Technology and Science for Women,82.32,29.21,55.76
975,St Joseph's College of Engineering,76.74,34.79,55.76
976,Department of Ship Technology,63.6,47.9,55.75
977,Bhagirathi Institute of Technology and Management,78.77,32.73,55.75
978,SJVP Polytechnic,81.77,29.7,55.74
979,Maharana Pratap Polytechnic,61.49,49.97,55.73
980,Abhinav Education Society's College of Engineering and Technology,71.85,39.6,55.73
981,Indian Institute of Information Technology,73.28,38.18,55.73
982,BWDA Polytechnic College,80.9,30.55,55.73
983,Dr DY Patil University,83.03,28.43,55.73
984,ASN Women's Engineering College,79.51,31.92,55.71
985,Universal College of Engineering and Technology,80.03,31.39,55.71
986,Government Engineering College,77.29,34.12,55.7
987,Sanjeevan Engineering and Technology Institute,76.14,35.23,55.69
988,Sri Ayyappa Polytechnic College,77.5,33.85,55.67
989,Swami Parmanand Polytechnic,82.43,28.92,55.67
990,Government Polytechnic,80.93,30.42,55.67
991,Impact Polytechnic,67.53,43.76,55.65
992,Audisankara Institute of Technology,82.81,28.5,55.65
993,Raja Ranajit Kishore Government Polytechnic,74.2,37.11,55.65
994,Sree Rama Institute of Technology and Science,77.87,33.4,55.64
995,Regional Polytechnic College,82.85,28.43,55.64
996,Shri Datta Meghe Polytechnic,77.58,33.69,55.64
997,Sri Venkateswara University College of Engineering,55.87,55.39,55.63
998,Institute of Advanced Research,83.24,28.01,55.62
999,AM Reddy Memorial College of Engineering and Technology,78.24,33.0,55.62
1000,Imperial Institute of Polytechnic and Technology,66.89,44.35,55.62
1001,Rajiv Memorial Institute of Education and Technology,80.35,30.89,55.62
1002,KIET School of Engineering,77.74,33.46,55.6
1003,AV Parekh Technical Institute,83.05,28.15,55.6
1004,Mount Zion Institute of Science and Technology,79.88,31.3,55.59
1005,Sridevi Women's Engineering College,81.17,30.0,55.59
1006,Younus College of Engineering,81.35,29.82,55.59
1007,Ponnaiyah Ramajayam College of Engineering and Technology,73.32,37.84,55.58
1008,Jayoti Vidyapeeth Women's University,83.27,27.85,55.56
1009,MDA Institute of Polytechnic,79.65,31.45,55.55
1010,Doaba Faculty of Engineering and Technology,79.49,31.58,55.54
1011,Adamas University,71.89,39.16,55.53
1012,Gayathri Institute of Technology and Sciences,72.49,38.55,55.52
1013,Adyapeath Annada Polytechnic College,83.1,27.95,55.52
1014,Mewat Engineering College,69.25,41.72,55.49
1015,Warangal Institute of Technology and Science,81.22,29.75,55.48
1016,Hon Shri Babanrao Pachpute Vichardhara Trust's Group of Institutions,48.2,62.77,55.48
1017,Rudrapur Institute of Technology,82.89,28.07,55.48
1018,Shivalik College of Engineering,83.78,27.14,55.46
1019,Shekhawati Polytechnic College,79.56,31.37,55.46
1020,Alagappa College of Technology,79.18,31.74,55.46
1021,St Michael College of Engineering and Technology,78.9,31.99,55.45
1022,Government Polytechnic,56.01,54.86,55.44
1023,Government Polytechnic,79.28,31.6,55.44
1024,JSS Polytechnic For Women,78.21,32.66,55.44
1025,S Padmavathy Polytechnic College,52.8,58.06,55.43
1026,MET Bhujbal Knowledge City,80.43,30.43,55.43
1027,Moradabad Polytechnic Institute,83.83,27.03,55.43
1028,Anjuman I Islam's AR Kalsekar Polytechnic,77.9,32.95,55.43
1029,Bhadrak Engineering School and Technology,79.49,31.33,55.41
1030,Phonics School of Diploma Programmes,81.47,29.36,55.41
1031,JT Mahajan Polytechnic,82.09,28.73,55.41
1032,Cambridge Institute of Technology,81.9,28.91,55.41
1033,MG College of Engineering,61.64,49.15,55.39
1034,Jain Institute of Technology,82.73,28.01,55.37
1035,Shetty Polytechnic College,82.1,28.62,55.36
1036,Nagnathappa Halge College of Engineering,76.29,34.43,55.36
1037,Maharana Pratap College of Technology and Management,79.1,31.61,55.35
1038,Sahyadri Polytechnic,79.69,30.99,55.34
1039,Maa Vaishno Maa Sharda Polytechnic,67.15,43.54,55.34
1040,Marwar Engineering College and Research Centre,82.99,27.68,55.34
1041,Dr BR Ambedkar University,81.48,29.18,55.33
1042,Dr TMA Pai Polytechnic,82.27,28.39,55.33
1043,Ambedkar Institute of Technology,74.15,36.52,55.33
1044,Rizvi College of Engineering,82.76,27.91,55.33
1045,ITM University,76.23,34.35,55.29
1046,CMJ University,79.54,31.01,55.28
1047,Corporate Institute of Science and Technology,79.37,31.15,55.26
1048,Saraswati College of Engineering,79.95,30.58,55.26
1049,Vidya Memorial Institute of Technology,79.12,31.38,55.25
1050,SSK Polytechnic College,82.82,27.67,55.25
1051,Veludaiyar Polytechnic College,81.59,28.89,55.24
1052,Karpagam Academy of Higher Education,82.1,28.38,55.24
1053,Calicut University Institute of Engineering Technology,82.37,28.1,55.23
1054,LNM Institute of Information Technology,72.97,37.49,55.23
1055,The Kongu Polytechnic College,83.76,26.66,55.21
1056,RD Foundation Group of Institutions,76.13,34.3,55.21
1057,Sinhgad College of Architecture,81.42,28.98,55.2
1058,Devi Mahalaxmi Polytechnic College,64.43,45.96,55.2
1059,Government Polytechnic,81.0,29.39,55.19
1060,Indian Institute of Food Processing Technology,68.06,42.29,55.18
1061,St Johns College of Engineering and Technology,81.69,28.64,55.17
1062,Shanmuganathan Engineering College,79.56,30.77,55.17
1063,Vel Tech Multi Tech Dr Rangarajan Dr Sakunthala Engineering College,80.62,29.69,55.16
1064,Nigama Engineering College,83.24,27.04,55.14
1065,Nalgonda Institute of Technology and Science,81.96,28.31,55.14
1066,Dreams College of Polytechnic,80.22,30.01,55.12
1067,Synergy Institute of Technology,82.5,27.73,55.12
1068,Vidyalankar Institute of Technology,70.48,39.76,55.12
1069,Guru Angad Dev Veterinary and Animal Sciences University,82.15,28.09,55.12
1070,Government Polytechnic College,78.72,31.51,55.11
1071,Shri Gulabrao Deokar Polytechnic,83.28,26.95,55.11
1072,Northern Regional Institute of Printing Technology,74.89,35.32,55.11
1073,Padmashri Dr VB Kolte College of Engineering,81.98,28.23,55.11
1074,Nalla Narsimha Reddy Education Society's Group of Institutions,82.97,27.26,55.11
1075,Government Polytechnic College,61.82,48.4,55.11
1076,Government Polytechnic,53.28,56.89,55.09
1077,Hemchandracharya North Gujarat University,79.66,30.51,55.08
1078,Arrdekta Institute of Technology,42.26,67.9,55.08
1079,Gurukul Education Society Institute of Engineering and Technology,73.09,37.08,55.08
1080,Thanthai Periyar EV Ramasamy Government Polytechnic College,68.31,41.85,55.08
1081,Sri Venkateshwara College of Engineering,80.44,29.72,55.08
1082,Hindustan Institute of Engineering Technology Polytechnic College,80.96,29.17,55.07
1083,Vaagdevi Engineering College,82.61,27.53,55.07
1084,Alpha College of Engineering and Technology,74.08,36.02,55.05
1085,School of Energy and Environmental Studies,57.82,52.28,55.05
1086,Sri Annamalai Polytechnic College,73.52,36.58,55.05
1087,Oriental Engineering College,78.81,31.29,55.05
1088,CBS College of Polytechnic,82.05,28.05,55.05
1089,Government Polytechnic College,69.33,40.74,55.04
1090,Jawaharlal Nehru Architecture and Fine Arts University School of Planning and Architecture,82.02,28.06,55.04
1091,Pacific School of Engineering,76.99,33.07,55.03
1092,Nuzvid Polytechnic,76.99,33.02,55.01
1093,Maharana Pratap Institute of Technology and Management,76.51,33.51,55.01
1094,Sumathi Reddy Institute of Technology for Women,74.52,35.48,55.0
1095,University College of Engineering,78.32,31.65,54.99
1096,Haryana Engineering College,78.61,31.36,54.98
1097,Kishanganj College of Engineering and Technology,79.95,29.99,54.97
1098,Nelliandavar Institute of Technology,81.08,28.87,54.97
1099,Priyadarshini College of Engineering,65.44,44.48,54.96
1100,Ishwarchand Vidya Sagar Institute of Technology,66.67,43.25,54.96
1101,Shekhawati Engineering College,80.43,29.45,54.94
1102,Geeta Engineering College,77.76,32.11,54.94
1103,Sakthi Polytechnic College,70.7,39.17,54.94
1104,Rajas Institute of Technology,68.03,41.8,54.92
1105,Women's Institute of Technology,48.84,60.97,54.91
1106,AERP ITM Polytechnic,81.66,28.13,54.9
1107,DY Patil College of Engineering and Polytechnic,82.03,27.75,54.89
1108,CSI College of Engineering,63.06,46.71,54.89
1109,Government Polytechnic,72.02,37.74,54.88
1110,Krupajal Engineering College,62.38,47.38,54.88
1111,VP Muthaiah Pillai Meenakshi Ammal Engineering College for Women,64.99,44.74,54.87
1112,Aryan Institute of Engineering and Technology,75.06,34.61,54.84
1113,Shri Shankaracharya Institute of Technology and Management,80.9,28.79,54.84
1114,Sri Bharathi Engineering College for Women,71.0,38.67,54.83
1115,Late GN Sapkal College of Engineering,67.19,42.46,54.83
1116,Sri Sai Ram Engineering College,81.88,27.79,54.83
1117,All Saints' College of Engineering,73.82,35.82,54.82
1118,Doon Institute of Engineering and Technology,79.0,30.64,54.82
1119,SLBS Engineering College,79.72,29.9,54.81
1120,SBCMS Institute of Technology,82.87,26.75,54.81
1121,Bhuvan Polytechnic,76.76,32.86,54.81
1122,DIPS Polytechnic College,79.76,29.84,54.8
1123,Jaipur Institute of Engineering and Technology,75.24,34.35,54.8
1124,Oxford College of Engineering and Management,69.53,40.01,54.77
1125,Vinayaka Mission's Research Foundation,72.3,37.22,54.76
1126,Maharishi Markandeshwar Group of Institutions,80.57,28.96,54.76
1127,Dr Nallini Institute of Engineering and Technology,46.76,62.71,54.74
1128,Sophia Polytechnic,76.82,32.65,54.74
1129,School of Information Technology,75.94,33.51,54.73
1130,Green Hills Polytechnic,79.39,30.05,54.72
1131,Smt LV Government Polytechnic,83.25,26.19,54.72
1132,Institute of Tool Room Training,60.27,49.16,54.72
1133,Model Polytechnic College,68.26,41.15,54.71
1134,Shiv Shankar Institute of Engineering and Technology,77.48,31.94,54.71
1135,Marathwada Mitra Mandal's Institute of Technology,80.53,28.88,54.7
1136,Chandigarh College of Engineering and Technology,58.31,51.09,54.7
1137,Sreenidhi Institute of Science and Technology,75.07,34.29,54.68
1138,Digamber Jain Polytechnic,45.96,63.38,54.67
1139,Manda Institute of Technology,46.06,63.25,54.66
1140,Priyadarshini Institute of Technology,77.18,32.12,54.65
1141,GGS Polytechnic College,68.18,41.1,54.64
1142,GMR Institute of Technology,75.38,33.89,54.63
1143,Dr Babasaheb Bhimrao Ambedkar Government Polytechnic,72.6,36.64,54.62
1144,Bansal College of Engineering,82.73,26.52,54.62
1145,Konkan Gyanpeeth College of Engineering,78.83,30.4,54.61
1146,BVM College of Technology and Management,72.54,36.69,54.61
1147,Allahabad College of Engineering and Management,81.5,27.71,54.6
1148,Bharat Institute of Technology,75.44,33.76,54.6
1149,Pydah College of Engineering,78.14,31.06,54.6
1150,Teegala Krishna Reddy Engineering College,81.92,27.29,54.6
1151,Gandhi Institute of Science and Technology,80.49,28.69,54.59
1152,Rizvi College of Architecture,77.25,31.89,54.57
1153,Kanchi Pallavan Engineering College,74.95,34.16,54.56
1154,PP Savani University,79.71,29.41,54.56
1155,ITM- School of Architecture Art and Design,76.84,32.27,54.55
1156,Shridevi Polytechnic,82.42,26.65,54.54
1157,MS Ramaiah University of Applied Sciences,73.88,35.21,54.54
1158,Malabar Polytechnic Campus,72.38,36.7,54.54
1159,Malhotra Technical Research Institute,73.8,35.26,54.53
1160,Faculty of Engineering and Technology,78.63,30.42,54.53
1161,Kodada Institute of Technology and Science for Women,81.59,27.45,54.52
1162,MAM College of Engineering,69.37,39.68,54.52
1163,Aditya Polytechnic,65.75,43.29,54.52
1164,LBS Polytechnic College,79.82,29.19,54.51
1165,Sri Padmavati Mahila Visvavidyalayam,60.09,48.9,54.5
1166,Rajeev Gandhi Memorial College of Engineering and Technology,68.84,40.16,54.5
1167,Ajay Binay Institute of Technology,80.68,28.32,54.5
1168,Ballari Institute of Technology and Management,68.98,40.02,54.5
1169,St Thomas College of Engineering and Technology,77.38,31.6,54.49
1170,Jan Nayak Ch Devi Lal Memorial College of Engineering,66.94,41.99,54.46
1171,Mai Bhago Government Polytechnic College For Girls,82.88,26.04,54.46
1172,Bharat Group of Colleges,78.99,29.94,54.46
1173,PRBS College of Polytechnic,80.93,27.98,54.46
1174,Aarav Polytechnic College,81.61,27.28,54.44
1175,Government Polytechnic,69.05,39.84,54.44
1176,Government Polytechnic,81.11,27.74,54.43
1177,MGM'S Polytechnic College,66.02,42.8,54.41
1178,Shri Govind Guru University,69.73,39.09,54.41
1179,College of Engineering,72.46,36.34,54.4
1180,Yashwantrao Chavan Institute of Polytechnic,82.23,26.57,54.4
1181,Chaitanya Bharathi Institute of Technology,80.01,28.8,54.4
1182,Government Engineering College,81.66,27.14,54.4
1183,Aalim Muhammed Salegh College of Engineering,69.71,39.07,54.39
1184,Guru Premsukh Memorial College of Engineering,67.35,41.4,54.38
1185,Vishwakarma Institute of Technology,76.11,32.65,54.38
1186,Azad Polytechnic,81.05,27.71,54.38
1187,Potti Sriramulu Chalavadi Mallikharjuna Rao College of Engineering and Technology,78.99,29.77,54.38
1188,Vishveshwarya Institute of Polytechnic,77.38,31.37,54.37
1189,Satyasai Engineering College,81.17,27.58,54.37
1190,Vel Tech High Tech Dr Rangarajan Dr Sakunthala Engineering College,82.04,26.68,54.36
1191,GK Bharad Institute of Engineering,66.35,42.37,54.36
1192,BSM College of Engineering,71.74,36.94,54.34
1193,GH Raisoni Institute of Engineering and Management,78.33,30.35,54.34
1194,Doaba Women Institute of Engineering and Technology,65.58,43.11,54.34
1195,NIIT University,76.91,31.76,54.33
1196,Mekapati Rajamohan Reddy Institute of Technology and Science,78.11,30.53,54.32
1197,Shri PD Patil College of Engineering,82.09,26.56,54.32
1198,Annamalai Polytechnic College,73.32,35.29,54.3
1199,Chadalawada Ramanamma Engineering College,80.85,27.76,54.3
1200,Patel College of Science and Technology,82.36,26.21,54.29
1201,Vijaya Vittala Institute of Technology,81.17,27.41,54.29
1202,Indira Gandhi Technological and Medical Sciences University,78.7,29.86,54.28
1203,Government Polytechnic for Women,58.3,50.25,54.27
1204,Maharishi Markandeshwar University,76.83,31.71,54.27
1205,Tirupati College of Engineering,80.35,28.19,54.27
1206,Surabhi College of Engineering and Technology,80.14,28.38,54.26
1207,Sardar Vallabhbhai Patel Institute of Technology,60.71,47.81,54.26
1208,Himachal Pradesh University,71.57,36.92,54.25
1209,Aarooran Polytechnic College,76.78,31.72,54.25
1210,JK Institute of Engineering,80.18,28.31,54.24
1211,Meerut Institute of Technology,66.22,42.25,54.24
1212,Cochin University College of Engineering,77.5,30.98,54.24
1213,BBS College of Engineering and Technology,73.84,34.63,54.23
1214,Loknete Gopinathji Munde Institute of Engineering Education and Research,69.13,39.33,54.23
1215,Alpha College of Engineering,77.96,30.49,54.22
1216,KMCT College of Engineering,78.53,29.88,54.21
1217,Applied College of Management and Engineering,68.93,39.49,54.21
1218,Royal School of Engineering and Technology,65.98,42.45,54.21
1219,MIT Polytechnic College,65.5,42.9,54.2
1220,Aishwarya Polytechnic College,79.43,28.96,54.2
1221,Dronacharya Group of Institutions,69.39,39.02,54.2
1222,Sawai Madhopur College of Engineering and Technology,81.73,26.66,54.19
1223,Dnyanshree Institute of Engineering and Technology,82.58,25.79,54.19
1224,University College of Engineering,76.72,31.66,54.19
1225,Bishop Jerome Institute,80.13,28.2,54.16
1226,AD Patel Institute of Technology,78.96,29.31,54.14
1227,Shree Ramkrishna Institute of Science and Technology,79.24,29.05,54.14
1228,School of Electronics,63.99,44.27,54.13
1229,KG Engineering Institute,66.16,42.08,54.12
1230,Government Polytechnic,75.82,32.43,54.12
1231,Tagore Engineering College,62.62,45.58,54.1
1232,MD College of Polytechnic,68.33,39.82,54.08
1233,Loyola-ICAM College of Engineering and Technology,75.93,32.21,54.07
1234,Swetha Institute of Technology and Science,69.86,38.27,54.07
1235,PM College of Architecture,50.61,57.52,54.07
1236,Jawaharlal Nehru Technological University,66.55,41.59,54.07
1237,Government Girl's Polytechnic,78.35,29.78,54.07
1238,Shivajirao S Jondhale College of Engineering,70.02,38.09,54.06
1239,Francis Xavier Engineering College,82.0,26.11,54.06
1240,Maharana Pratap University of Agriculture and Technology,77.39,30.7,54.05
1241,KDGM's Dr Uttamrao Mahajan Institute of Engineering and Technology,70.92,37.18,54.05
1242,Sri Ramakrishna College of Engineering,72.32,35.77,54.04
1243,Government Polytechnic,78.63,29.45,54.04
1244,Idhaya Engineering College for Women,66.78,41.28,54.03
1245,Ramgovind Institute of Technology,60.31,47.75,54.03
1246,SVS Polytechnic College,63.52,44.51,54.01
1247,Yashvir Memorial Technical Institute,71.82,36.19,54.01
1248,Global Institute of Management and Emerging Technologies,69.63,38.37,54.0
1249,AR Engineering College,75.13,32.86,54.0
1250,Indian Institute of Petroleum and Energy Visakhapatnam,64.48,43.51,54.0
1251,Bhartiya Polytechnic,80.81,27.18,54.0
1252,Kurukshetra University,79.81,28.16,53.99
1253,Government Womens Polytechnic,79.31,28.65,53.98
1254,Adhi College of Engineering and Technology,79.95,27.99,53.97
1255,State Institute of Engineering and Technology,62.01,45.91,53.96
1256,SES Polytechnic,63.2,44.67,53.94
1257,DVR College of Engineering and Technology,80.93,26.94,53.94
1258,Sree Narayana Guru College of Engineering and Technology,62.97,44.92,53.94
1259,Sri Venkateshwaraa College of Enginering and Technology,76.29,31.59,53.94
1260,Millennium Institute of Technology,69.92,37.95,53.93
1261,Kalahandi School of Engineering and Technology,79.19,28.66,53.92
1262,Vaageshwari Engineering College,79.59,28.25,53.92
1263,CGC College of Engineering,77.86,29.96,53.91
1264,KS Jain Institute of Engineering and Technology,74.83,33.0,53.91
1265,Einstein College of Engineering,80.45,27.37,53.91
1266,Government Engineering College,80.68,27.14,53.91
1267,Vedang Institute of Technology,79.82,27.97,53.9
1268,Raj Kumar Goel Institute of Technology and Management,81.62,26.16,53.89
1269,Mahatma Gandhi University,74.54,33.21,53.88
1270,Capital Engineering College,80.89,26.86,53.88
1271,Prabhu Kailash Polytechnic,77.23,30.54,53.88
1272,BN College of Engineering and Technology,76.69,31.04,53.87
1273,Jeppiaar Maamallan Engineering College,76.56,31.16,53.86
1274,Theni Kammavar Sangam Polytechnic College,62.66,45.02,53.84
1275,Maharashtra Institute of Technology,81.65,26.04,53.84
1276,University Institute of Engineering and Technology,82.1,25.55,53.83
1277,Jayalakshmi Institute of Technology,81.04,26.63,53.83
1278,Vivekananda Institute of Science and Information Technology,60.6,47.05,53.83
1279,Bharat Institute of Engineering and Technology,70.47,37.19,53.83
1280,Lucknow Polytechnic,57.9,49.71,53.81
1281,Amity University,69.18,38.42,53.8
1282,Uma Nath Singh Institute of Engineering and Technology,57.93,49.67,53.8
1283,Kalyan Polytechnic,72.25,35.35,53.8
1284,Dev Polytechnic College,79.93,27.66,53.8
1285,Dhirajlal Gandhi College of Technology,77.37,30.21,53.79
1286,Suryodaya College of Engineering and Technology,80.22,27.35,53.79
1287,Periyar Centenary Polytechnic College,81.8,25.73,53.76
1288,Kings Engineering College,80.53,26.99,53.76
1289,Siddharth Institute of Technology,66.08,41.45,53.76
1290,Maharaja Agrasain Institute of Technology,69.85,37.64,53.74
1291,Gurgaon College of Engineering for Women,81.84,25.65,53.74
1292,Acharya Nagarjuna University,53.88,53.6,53.74
1293,Kommuri Pratap Reddy Institute of Technology,79.46,28.0,53.73
1294,Prof Ram Meghe Institute of Technology and Research,69.51,37.95,53.73
1295,Bharath Niketan Polytechnic College,66.13,41.29,53.71
1296,Swami Vivekanand Institute of Technology,72.72,34.67,53.7
1297,Balaji Polytechnic College,53.37,54.01,53.69
1298,Smt Kashibai Navale College of Engineering,78.12,29.25,53.69
1299,SVS Polytechnic,79.82,27.54,53.68
1300,Baba Sahab Dr Bhim Rao Ambedkar College of Agricultural Engineering and Technology,69.45,37.92,53.68
1301,Vikas Institute of Engineering and Technology,52.34,55.03,53.68
1302,Punjab College of Engineering and Technology,78.67,28.68,53.68
1303,Lingaya's Vidyapeeth,80.46,26.88,53.67
1304,World Institute of Technology,74.54,32.79,53.66
1305,Dhaneswar Rath Institute of Engineering and Management Studies,62.57,44.76,53.66
1306,NIMRA College of Engineering and Technology,81.28,26.03,53.65
1307,KC College of Engineering and Management Studies and Research,75.6,31.69,53.65
1308,Park College of Engineering and Technology,80.95,26.34,53.64
1309,Lakshmi Ammal Polytechnic College,79.91,27.37,53.64
